location,crime_rate,flood_risk,weather_severity_index
"London, UK",0.35,0.818,0.742
"New York, USA",0.889,0.881,0.629
"Berlin, Germany",0.879,0.414,0.204
"Berlin, Germany",0.492,0.846,0.362
Singapore,0.251,0.725,0.209
"Lagos, Nigeria",0.473,0.688,0.593
"Johannesburg, South Africa",0.778,0.298,0.494
"Lagos, Nigeria",0.376,0.492,0.487
Singapore,0.373,0.73,0.355
"Johannesburg, South Africa",0.747,0.777,0.836
"London, UK",0.602,0.258,0.483
"Johannesburg, South Africa",0.424,0.349,0.353
"New York, USA",0.515,0.23,0.338
"Berlin, Germany",0.576,0.221,0.377
"London, UK",0.229,0.271,0.846
"Dubai, UAE",0.482,0.827,0.43
"Dubai, UAE",0.519,0.39,0.319
"Dubai, UAE",0.896,0.498,0.9
"London, UK",0.302,0.109,0.906
Singapore,0.298,0.702,0.713
"London, UK",0.709,0.331,0.843
Singapore,0.368,0.663,0.848
"Toronto, Canada",0.145,0.259,0.727
"Johannesburg, South Africa",0.866,0.402,0.519
"London, UK",0.133,0.514,0.951
"Dubai, UAE",0.835,0.605,0.396
"Johannesburg, South Africa",0.75,0.232,0.812
Singapore,0.589,0.446,0.305
"London, UK",0.805,0.109,0.686
"Dubai, UAE",0.257,0.206,0.847
"Dubai, UAE",0.25,0.363,0.751
"Johannesburg, South Africa",0.455,0.849,0.737
"London, UK",0.897,0.807,0.519
"Johannesburg, South Africa",0.107,0.519,0.91
"London, UK",0.214,0.584,0.382
"Toronto, Canada",0.675,0.331,0.916
"Lagos, Nigeria",0.307,0.636,0.133
"Dubai, UAE",0.544,0.29,0.64
Singapore,0.671,0.102,0.66
"Toronto, Canada",0.772,0.871,0.336
"Johannesburg, South Africa",0.545,0.405,0.779
"London, UK",0.181,0.518,0.273
Singapore,0.655,0.18,0.472
"Johannesburg, South Africa",0.501,0.522,0.909
Singapore,0.655,0.822,0.455
"Johannesburg, South Africa",0.146,0.802,0.844
"Lagos, Nigeria",0.103,0.562,0.189
"Toronto, Canada",0.826,0.785,0.203
"Johannesburg, South Africa",0.555,0.391,0.26
Singapore,0.243,0.254,0.248
"New York, USA",0.664,0.437,0.981
"New York, USA",0.666,0.748,0.201
"London, UK",0.832,0.665,0.235
"London, UK",0.714,0.408,0.253
"Berlin, Germany",0.771,0.373,0.639
"Johannesburg, South Africa",0.768,0.871,0.543
"Johannesburg, South Africa",0.335,0.311,0.751
"New York, USA",0.517,0.347,0.409
Singapore,0.128,0.378,0.137
"Lagos, Nigeria",0.134,0.726,0.411
"Johannesburg, South Africa",0.805,0.78,0.797
Singapore,0.141,0.274,0.833
"Lagos, Nigeria",0.539,0.426,0.742
"Dubai, UAE",0.843,0.792,0.464
Singapore,0.264,0.351,0.649
"Dubai, UAE",0.454,0.423,0.229
"Berlin, Germany",0.618,0.543,0.327
"New York, USA",0.549,0.613,0.322
"Toronto, Canada",0.391,0.343,0.168
Singapore,0.73,0.561,0.946
"Toronto, Canada",0.428,0.68,0.488
"Lagos, Nigeria",0.409,0.172,0.887
"Johannesburg, South Africa",0.117,0.899,0.3
"Toronto, Canada",0.792,0.846,0.791
"London, UK",0.9,0.222,0.824
"London, UK",0.695,0.366,0.104
Singapore,0.877,0.325,0.131
"Berlin, Germany",0.496,0.118,0.929
"Johannesburg, South Africa",0.565,0.502,0.612
"Toronto, Canada",0.808,0.227,0.356
Singapore,0.519,0.209,0.267
"Berlin, Germany",0.157,0.269,0.836
"New York, USA",0.691,0.708,0.274
"Toronto, Canada",0.211,0.203,0.859
"Lagos, Nigeria",0.374,0.603,0.66
"Lagos, Nigeria",0.776,0.333,0.694
"Johannesburg, South Africa",0.322,0.155,0.494
"New York, USA",0.848,0.882,0.132
"London, UK",0.752,0.618,0.599
"London, UK",0.875,0.263,0.742
"London, UK",0.184,0.505,0.103
"Toronto, Canada",0.336,0.411,0.123
"Berlin, Germany",0.733,0.24,0.916
"New York, USA",0.639,0.869,0.712
"Dubai, UAE",0.711,0.787,0.812
Singapore,0.798,0.395,0.124
Singapore,0.318,0.749,0.461
"Toronto, Canada",0.878,0.252,0.772
"Lagos, Nigeria",0.708,0.16,0.182
"Berlin, Germany",0.858,0.521,0.27
"Berlin, Germany",0.187,0.414,0.558
"Toronto, Canada",0.546,0.156,0.904
"Lagos, Nigeria",0.753,0.604,0.396
"Berlin, Germany",0.171,0.756,0.845
"Toronto, Canada",0.488,0.522,0.108
"Lagos, Nigeria",0.738,0.143,0.264
"Dubai, UAE",0.14,0.402,0.361
"Toronto, Canada",0.674,0.301,0.738
"Dubai, UAE",0.875,0.219,0.621
"Johannesburg, South Africa",0.145,0.499,0.338
"Lagos, Nigeria",0.834,0.152,0.623
"Johannesburg, South Africa",0.435,0.151,0.901
"New York, USA",0.119,0.721,0.522
"Dubai, UAE",0.379,0.442,0.726
Singapore,0.343,0.696,0.411
"London, UK",0.299,0.361,0.741
"Toronto, Canada",0.763,0.38,0.88
"Johannesburg, South Africa",0.462,0.443,0.61
"Johannesburg, South Africa",0.346,0.344,0.448
"Toronto, Canada",0.348,0.547,0.779
"Toronto, Canada",0.894,0.158,0.961
"Toronto, Canada",0.595,0.546,0.161
"New York, USA",0.133,0.671,0.565
"Dubai, UAE",0.81,0.894,0.264
"Johannesburg, South Africa",0.681,0.61,0.347
"London, UK",0.269,0.667,0.673
Singapore,0.191,0.576,0.964
"Dubai, UAE",0.402,0.861,0.868
"London, UK",0.266,0.748,0.332
"Berlin, Germany",0.661,0.592,0.122
"New York, USA",0.239,0.366,0.639
"London, UK",0.519,0.36,0.58
"London, UK",0.61,0.703,0.514
"Lagos, Nigeria",0.635,0.843,0.528
"Dubai, UAE",0.713,0.888,0.633
"Lagos, Nigeria",0.502,0.31,0.457
"New York, USA",0.269,0.574,0.254
"New York, USA",0.372,0.662,0.333
"London, UK",0.404,0.43,0.157
"Lagos, Nigeria",0.65,0.187,0.15
"Lagos, Nigeria",0.601,0.329,0.881
"London, UK",0.496,0.512,0.213
Singapore,0.479,0.192,0.162
"London, UK",0.148,0.35,0.844
"Berlin, Germany",0.652,0.306,0.958
"Toronto, Canada",0.743,0.384,0.285
"Johannesburg, South Africa",0.811,0.65,0.782
"Dubai, UAE",0.116,0.481,0.246
"Johannesburg, South Africa",0.8,0.401,0.713
"New York, USA",0.801,0.32,0.712
"New York, USA",0.63,0.651,0.486
"Berlin, Germany",0.323,0.64,0.894
Singapore,0.814,0.457,0.209
"Lagos, Nigeria",0.378,0.323,0.529
"Dubai, UAE",0.565,0.747,0.642
Singapore,0.453,0.782,0.783
"Toronto, Canada",0.809,0.777,0.228
"Johannesburg, South Africa",0.306,0.414,0.581
Singapore,0.365,0.303,0.509
"Lagos, Nigeria",0.426,0.777,0.475
"Berlin, Germany",0.784,0.884,0.423
"Berlin, Germany",0.355,0.255,0.997
"Berlin, Germany",0.331,0.609,0.253
"New York, USA",0.737,0.364,0.778
"New York, USA",0.41,0.489,0.439
"Johannesburg, South Africa",0.632,0.558,0.684
"Lagos, Nigeria",0.8,0.531,0.989
"Dubai, UAE",0.28,0.709,0.53
Singapore,0.471,0.877,0.842
"Johannesburg, South Africa",0.49,0.169,0.168
"London, UK",0.555,0.647,0.599
"Johannesburg, South Africa",0.835,0.519,0.444
"New York, USA",0.884,0.417,0.729
"Dubai, UAE",0.741,0.63,0.133
"Toronto, Canada",0.124,0.809,0.503
Singapore,0.194,0.588,0.545
"Toronto, Canada",0.194,0.756,0.86
"Toronto, Canada",0.525,0.336,0.446
Singapore,0.135,0.45,0.389
Singapore,0.509,0.239,0.45
"Berlin, Germany",0.701,0.558,0.494
"Lagos, Nigeria",0.342,0.692,0.329
Singapore,0.476,0.563,0.141
"Berlin, Germany",0.177,0.83,0.991
"Toronto, Canada",0.155,0.787,0.789
"Toronto, Canada",0.527,0.44,0.987
Singapore,0.11,0.558,0.696
"Berlin, Germany",0.663,0.618,0.895
"Toronto, Canada",0.214,0.746,0.505
"Toronto, Canada",0.815,0.16,0.414
"Johannesburg, South Africa",0.78,0.746,0.994
"Johannesburg, South Africa",0.281,0.153,0.253
"Lagos, Nigeria",0.288,0.676,0.295
"Toronto, Canada",0.129,0.472,0.701
"Berlin, Germany",0.887,0.29,0.33
"Berlin, Germany",0.144,0.666,0.488
Singapore,0.484,0.796,0.939
"London, UK",0.779,0.763,0.339
"Toronto, Canada",0.228,0.255,0.56
Singapore,0.717,0.583,0.763
"London, UK",0.235,0.63,0.165
Singapore,0.344,0.142,0.165
Singapore,0.304,0.363,0.771
"Dubai, UAE",0.138,0.183,0.928
"Berlin, Germany",0.198,0.433,0.633
"London, UK",0.64,0.682,0.134
"Johannesburg, South Africa",0.169,0.744,0.507
"Dubai, UAE",0.88,0.711,0.748
"Toronto, Canada",0.309,0.317,0.669
"Johannesburg, South Africa",0.188,0.219,0.278
"New York, USA",0.398,0.798,0.148
"Lagos, Nigeria",0.321,0.694,0.9
"Dubai, UAE",0.163,0.704,0.303
"Toronto, Canada",0.625,0.317,0.996
"London, UK",0.722,0.558,0.204
"London, UK",0.102,0.818,0.203
"Johannesburg, South Africa",0.558,0.767,0.701
"Johannesburg, South Africa",0.616,0.314,0.343
Singapore,0.887,0.861,0.977
"Dubai, UAE",0.628,0.403,0.313
"Johannesburg, South Africa",0.339,0.558,0.661
Singapore,0.636,0.685,0.466
"London, UK",0.321,0.301,0.181
"Dubai, UAE",0.212,0.415,0.737
"Johannesburg, South Africa",0.693,0.843,0.811
"Berlin, Germany",0.487,0.161,0.844
"Toronto, Canada",0.861,0.116,0.541
"London, UK",0.15,0.872,0.978
"New York, USA",0.484,0.8,0.82
"Toronto, Canada",0.301,0.74,0.496
"Berlin, Germany",0.504,0.367,0.19
Singapore,0.134,0.401,0.329
"Toronto, Canada",0.132,0.818,0.795
"Dubai, UAE",0.529,0.88,0.892
"Dubai, UAE",0.383,0.149,0.696
"Berlin, Germany",0.118,0.475,0.449
"Berlin, Germany",0.587,0.421,0.42
"Lagos, Nigeria",0.455,0.69,0.423
"Johannesburg, South Africa",0.882,0.495,0.542
"Lagos, Nigeria",0.766,0.163,0.753
"New York, USA",0.684,0.234,0.247
"London, UK",0.483,0.346,0.119
Singapore,0.488,0.73,0.169
"Toronto, Canada",0.852,0.719,0.699
"London, UK",0.685,0.717,0.864
"Toronto, Canada",0.172,0.721,0.466
"New York, USA",0.449,0.433,0.404
"New York, USA",0.434,0.592,0.118
"Toronto, Canada",0.19,0.216,0.155
"Johannesburg, South Africa",0.776,0.28,0.779
"Berlin, Germany",0.325,0.359,0.181
"Lagos, Nigeria",0.399,0.511,0.846
Singapore,0.884,0.247,0.803
"Toronto, Canada",0.646,0.8,0.838
"Johannesburg, South Africa",0.745,0.597,0.717
"Berlin, Germany",0.184,0.53,0.119
"Toronto, Canada",0.532,0.113,0.499
"Toronto, Canada",0.672,0.55,0.241
"Dubai, UAE",0.751,0.833,0.404
"Toronto, Canada",0.808,0.279,0.602
"Toronto, Canada",0.172,0.277,0.759
"Toronto, Canada",0.691,0.832,0.309
Singapore,0.179,0.766,0.401
"Berlin, Germany",0.423,0.644,0.289
"New York, USA",0.457,0.687,0.986
"Dubai, UAE",0.329,0.147,0.936
"Lagos, Nigeria",0.791,0.709,0.688
"Lagos, Nigeria",0.569,0.696,0.842
"Berlin, Germany",0.212,0.14,0.747
"Johannesburg, South Africa",0.398,0.732,0.864
"Berlin, Germany",0.163,0.613,0.942
"Toronto, Canada",0.496,0.557,0.937
"Johannesburg, South Africa",0.384,0.512,0.617
Singapore,0.357,0.511,0.968
"New York, USA",0.775,0.287,0.467
"Dubai, UAE",0.78,0.102,0.274
"New York, USA",0.644,0.868,0.308
"London, UK",0.835,0.469,0.513
Singapore,0.624,0.135,0.328
"Johannesburg, South Africa",0.595,0.365,0.214
"New York, USA",0.175,0.398,0.457
Singapore,0.108,0.797,0.623
Singapore,0.268,0.374,0.971
"Toronto, Canada",0.729,0.803,0.658
"London, UK",0.843,0.454,0.797
"Johannesburg, South Africa",0.284,0.234,0.714
"Berlin, Germany",0.235,0.329,0.446
Singapore,0.768,0.778,0.27
"Toronto, Canada",0.404,0.228,0.354
"Dubai, UAE",0.882,0.592,0.889
"Dubai, UAE",0.869,0.68,0.24
"Dubai, UAE",0.367,0.35,0.188
Singapore,0.548,0.743,0.868
"Johannesburg, South Africa",0.644,0.35,0.593
Singapore,0.612,0.318,0.714
"London, UK",0.88,0.16,0.843
"Toronto, Canada",0.387,0.568,0.406
"Berlin, Germany",0.681,0.526,0.775
"London, UK",0.565,0.63,0.668
"Toronto, Canada",0.516,0.474,0.122
"Lagos, Nigeria",0.219,0.265,0.748
"Berlin, Germany",0.703,0.183,0.41
"Johannesburg, South Africa",0.418,0.499,0.287
"Johannesburg, South Africa",0.203,0.53,0.965
"London, UK",0.109,0.846,0.793
"Johannesburg, South Africa",0.219,0.496,0.122
"Lagos, Nigeria",0.652,0.846,0.784
"Lagos, Nigeria",0.699,0.608,0.865
"London, UK",0.137,0.22,0.421
"New York, USA",0.224,0.169,0.394
"New York, USA",0.899,0.869,0.481
"Toronto, Canada",0.431,0.263,0.52
"London, UK",0.816,0.378,0.443
Singapore,0.425,0.128,0.556
"London, UK",0.523,0.32,0.975
"Johannesburg, South Africa",0.8,0.865,0.129
"Lagos, Nigeria",0.892,0.173,0.984
"Johannesburg, South Africa",0.157,0.819,0.864
"Lagos, Nigeria",0.606,0.152,0.818
Singapore,0.475,0.621,0.505
Singapore,0.531,0.496,0.168
"Dubai, UAE",0.261,0.685,0.657
"Lagos, Nigeria",0.815,0.722,0.905
"Berlin, Germany",0.329,0.642,0.483
"New York, USA",0.211,0.257,0.162
"Toronto, Canada",0.667,0.608,0.105
"Toronto, Canada",0.884,0.594,0.207
"London, UK",0.292,0.78,0.645
"Lagos, Nigeria",0.475,0.191,0.992
Singapore,0.152,0.583,0.741
Singapore,0.367,0.265,0.241
"London, UK",0.745,0.631,0.876
"New York, USA",0.805,0.515,0.694
Singapore,0.287,0.252,0.371
"Johannesburg, South Africa",0.538,0.199,0.552
"Berlin, Germany",0.728,0.659,0.463
Singapore,0.115,0.754,0.884
Singapore,0.27,0.396,0.958
"New York, USA",0.13,0.598,0.211
"London, UK",0.201,0.745,0.233
"Lagos, Nigeria",0.242,0.679,0.174
"London, UK",0.124,0.684,0.442
"Johannesburg, South Africa",0.45,0.546,0.974
"Lagos, Nigeria",0.43,0.209,0.989
"Lagos, Nigeria",0.333,0.857,0.636
Singapore,0.355,0.346,0.517
Singapore,0.53,0.192,0.372
"Dubai, UAE",0.744,0.791,0.1
"London, UK",0.88,0.806,0.337
"Berlin, Germany",0.753,0.801,0.232
"Dubai, UAE",0.412,0.513,0.102
"London, UK",0.8,0.347,0.906
"Johannesburg, South Africa",0.759,0.749,0.176
"New York, USA",0.83,0.842,0.738
"Johannesburg, South Africa",0.152,0.108,0.932
"New York, USA",0.383,0.825,0.214
Singapore,0.137,0.289,0.316
"Toronto, Canada",0.357,0.736,0.312
"New York, USA",0.324,0.748,0.178
"Dubai, UAE",0.828,0.549,0.919
"Johannesburg, South Africa",0.856,0.45,0.864
"New York, USA",0.656,0.28,0.443
"Johannesburg, South Africa",0.326,0.292,0.793
Singapore,0.106,0.498,0.558
"London, UK",0.636,0.214,0.711
Singapore,0.5,0.641,0.72
"London, UK",0.266,0.125,0.798
"Berlin, Germany",0.241,0.121,0.909
"New York, USA",0.548,0.508,0.81
"Berlin, Germany",0.204,0.313,0.736
"Berlin, Germany",0.539,0.482,0.66
"Johannesburg, South Africa",0.833,0.546,0.288
"New York, USA",0.733,0.349,0.355
"London, UK",0.853,0.803,0.168
"Lagos, Nigeria",0.299,0.497,0.332
"Johannesburg, South Africa",0.862,0.758,0.59
Singapore,0.48,0.814,0.958
"Lagos, Nigeria",0.605,0.811,0.214
"Johannesburg, South Africa",0.335,0.153,0.499
"Lagos, Nigeria",0.895,0.136,0.776
"Berlin, Germany",0.45,0.574,0.814
Singapore,0.25,0.428,0.272
"Lagos, Nigeria",0.559,0.717,0.26
"Dubai, UAE",0.304,0.863,0.65
"Toronto, Canada",0.449,0.154,0.923
"Toronto, Canada",0.266,0.604,0.824
"Dubai, UAE",0.409,0.584,0.446
"Berlin, Germany",0.174,0.795,0.693
"London, UK",0.328,0.351,0.329
"New York, USA",0.299,0.513,0.525
Singapore,0.858,0.853,0.582
Singapore,0.574,0.896,0.674
"Berlin, Germany",0.121,0.554,0.46
"Lagos, Nigeria",0.831,0.266,0.129
"New York, USA",0.615,0.735,0.935
"Dubai, UAE",0.37,0.4,0.961
"London, UK",0.393,0.83,0.718
"Lagos, Nigeria",0.125,0.736,0.34
"Johannesburg, South Africa",0.879,0.852,0.635
"Dubai, UAE",0.788,0.272,0.348
"Toronto, Canada",0.152,0.432,0.729
"Toronto, Canada",0.645,0.3,0.424
"Berlin, Germany",0.459,0.852,0.602
"London, UK",0.747,0.688,0.153
Singapore,0.599,0.12,0.997
Singapore,0.43,0.324,0.696
"Berlin, Germany",0.449,0.69,0.946
"Johannesburg, South Africa",0.621,0.645,0.77
"Johannesburg, South Africa",0.624,0.13,0.606
"Dubai, UAE",0.546,0.408,0.763
"London, UK",0.807,0.735,0.522
"Berlin, Germany",0.723,0.371,0.963
"New York, USA",0.195,0.292,0.797
"Berlin, Germany",0.798,0.668,0.209
Singapore,0.261,0.622,0.956
"Johannesburg, South Africa",0.86,0.12,0.618
Singapore,0.746,0.825,0.505
"New York, USA",0.827,0.489,0.813
"London, UK",0.641,0.786,0.306
"New York, USA",0.621,0.413,0.962
"Johannesburg, South Africa",0.299,0.4,0.25
"New York, USA",0.601,0.198,0.366
"Berlin, Germany",0.436,0.738,0.9
"New York, USA",0.223,0.103,0.647
"Lagos, Nigeria",0.388,0.332,0.869
"Lagos, Nigeria",0.63,0.158,0.279
"London, UK",0.801,0.67,0.823
"Lagos, Nigeria",0.45,0.673,0.261
"Johannesburg, South Africa",0.332,0.351,0.769
"Berlin, Germany",0.229,0.662,0.239
"New York, USA",0.422,0.299,0.409
"New York, USA",0.328,0.351,0.529
"London, UK",0.458,0.746,0.927
Singapore,0.181,0.691,0.759
"New York, USA",0.688,0.719,0.354
"New York, USA",0.104,0.19,0.502
"New York, USA",0.66,0.206,0.415
"London, UK",0.345,0.343,0.946
"Johannesburg, South Africa",0.387,0.183,0.257
"Lagos, Nigeria",0.237,0.517,0.924
"Dubai, UAE",0.875,0.525,0.845
"Lagos, Nigeria",0.142,0.378,0.216
"Toronto, Canada",0.326,0.432,0.346
"Berlin, Germany",0.218,0.18,0.739
"Toronto, Canada",0.486,0.643,0.737
"London, UK",0.548,0.312,0.31
"Johannesburg, South Africa",0.257,0.722,0.67
"London, UK",0.624,0.717,0.719
"Dubai, UAE",0.542,0.573,0.165
"Lagos, Nigeria",0.774,0.451,0.443
"Johannesburg, South Africa",0.825,0.265,0.916
"Dubai, UAE",0.656,0.85,0.91
"Johannesburg, South Africa",0.604,0.817,0.696
"Dubai, UAE",0.584,0.702,0.687
"New York, USA",0.234,0.835,0.87
"Toronto, Canada",0.807,0.819,0.408
"London, UK",0.388,0.518,0.145
"Berlin, Germany",0.653,0.268,0.862
"Toronto, Canada",0.453,0.263,0.381
"Berlin, Germany",0.822,0.498,0.705
"Dubai, UAE",0.426,0.68,0.539
"Berlin, Germany",0.548,0.424,0.23
Singapore,0.25,0.423,0.477
"Lagos, Nigeria",0.543,0.158,0.336
"Lagos, Nigeria",0.262,0.723,0.107
"Johannesburg, South Africa",0.736,0.237,0.572
"Johannesburg, South Africa",0.394,0.819,0.608
"Berlin, Germany",0.439,0.239,0.375
"Johannesburg, South Africa",0.612,0.694,0.365
"Toronto, Canada",0.169,0.697,0.502
"Lagos, Nigeria",0.352,0.789,0.656
"Toronto, Canada",0.847,0.517,0.972
"Lagos, Nigeria",0.79,0.422,0.53
"New York, USA",0.285,0.178,0.94
"London, UK",0.51,0.768,0.977
"New York, USA",0.567,0.434,0.647
"New York, USA",0.341,0.891,0.605
"London, UK",0.378,0.339,0.154
"Lagos, Nigeria",0.882,0.45,0.301
"Johannesburg, South Africa",0.211,0.433,0.998
"Lagos, Nigeria",0.829,0.482,0.771
"Johannesburg, South Africa",0.383,0.278,0.701
"New York, USA",0.291,0.319,0.61
"Lagos, Nigeria",0.308,0.468,0.715
"Berlin, Germany",0.327,0.717,0.713
"Berlin, Germany",0.33,0.696,0.299
"Johannesburg, South Africa",0.303,0.248,0.806
"Lagos, Nigeria",0.774,0.525,0.519
"Berlin, Germany",0.314,0.518,0.731
"Johannesburg, South Africa",0.789,0.557,0.413
Singapore,0.875,0.352,0.62
"London, UK",0.323,0.675,0.762
"New York, USA",0.552,0.324,0.651
"Lagos, Nigeria",0.465,0.363,0.67
"Dubai, UAE",0.777,0.253,0.267
"New York, USA",0.347,0.228,0.555
"London, UK",0.712,0.805,0.347
"New York, USA",0.481,0.415,0.433
"Lagos, Nigeria",0.605,0.704,0.822
"London, UK",0.561,0.707,0.143
"Dubai, UAE",0.15,0.557,0.332
"London, UK",0.571,0.761,0.81
Singapore,0.762,0.101,0.862
"Berlin, Germany",0.331,0.229,0.292
"Lagos, Nigeria",0.422,0.783,0.249
"London, UK",0.264,0.849,0.819
"London, UK",0.268,0.509,0.746
"Dubai, UAE",0.346,0.655,0.607
"Johannesburg, South Africa",0.703,0.225,0.512
Singapore,0.485,0.637,0.888
"Dubai, UAE",0.653,0.619,0.351
"New York, USA",0.848,0.188,0.683
"Berlin, Germany",0.684,0.726,0.937
Singapore,0.399,0.127,0.255
"New York, USA",0.509,0.884,0.274
Singapore,0.323,0.873,0.207
Singapore,0.153,0.73,0.34
"London, UK",0.633,0.49,0.612
Singapore,0.629,0.338,0.396
"London, UK",0.785,0.371,0.603
"New York, USA",0.228,0.183,0.535
"New York, USA",0.807,0.68,0.578
"London, UK",0.735,0.869,0.957
"London, UK",0.186,0.291,0.286
"Berlin, Germany",0.886,0.882,0.704
Singapore,0.131,0.462,0.527
"Johannesburg, South Africa",0.736,0.212,0.712
"London, UK",0.443,0.718,0.638
"Dubai, UAE",0.792,0.764,0.781
"Johannesburg, South Africa",0.683,0.37,0.58
"London, UK",0.149,0.874,0.732
"Lagos, Nigeria",0.292,0.529,0.762
Singapore,0.862,0.126,0.26
"Toronto, Canada",0.218,0.376,0.932
"Toronto, Canada",0.155,0.713,0.752
"Johannesburg, South Africa",0.223,0.259,0.187
"London, UK",0.676,0.205,0.875
"Johannesburg, South Africa",0.132,0.591,0.272
"Berlin, Germany",0.446,0.339,0.628
"Lagos, Nigeria",0.173,0.591,0.382
"London, UK",0.65,0.352,0.618
"Lagos, Nigeria",0.302,0.717,0.899
"New York, USA",0.648,0.437,0.902
"Johannesburg, South Africa",0.24,0.889,0.807
Singapore,0.417,0.4,0.833
"Berlin, Germany",0.84,0.217,0.557
"Johannesburg, South Africa",0.407,0.608,0.882
"Toronto, Canada",0.191,0.683,0.52
"Johannesburg, South Africa",0.396,0.376,0.288
"Lagos, Nigeria",0.464,0.697,0.908
"Dubai, UAE",0.467,0.373,0.514
"Dubai, UAE",0.667,0.178,0.641
"London, UK",0.2,0.167,0.664
"New York, USA",0.469,0.481,0.174
"Johannesburg, South Africa",0.303,0.887,0.419
"Berlin, Germany",0.456,0.526,0.423
Singapore,0.238,0.526,0.745
"Dubai, UAE",0.288,0.79,0.71
"Lagos, Nigeria",0.542,0.858,0.99
"New York, USA",0.341,0.241,0.758
"Dubai, UAE",0.228,0.206,0.3
"Lagos, Nigeria",0.596,0.646,0.411
"Lagos, Nigeria",0.769,0.589,0.25
Singapore,0.757,0.377,0.876
"Lagos, Nigeria",0.767,0.816,0.861
"Berlin, Germany",0.114,0.534,0.922
"Berlin, Germany",0.649,0.239,0.694
"Toronto, Canada",0.899,0.412,0.342
"Lagos, Nigeria",0.681,0.802,0.907
"New York, USA",0.313,0.115,0.345
"Dubai, UAE",0.551,0.77,0.446
"London, UK",0.482,0.861,0.12
"Johannesburg, South Africa",0.467,0.393,0.62
"Lagos, Nigeria",0.678,0.328,0.492
"Toronto, Canada",0.201,0.233,0.683
"Dubai, UAE",0.195,0.132,0.971
"Dubai, UAE",0.505,0.641,0.152
"Johannesburg, South Africa",0.879,0.237,0.182
Singapore,0.149,0.816,0.608
"Berlin, Germany",0.396,0.465,0.998
"Toronto, Canada",0.507,0.878,0.359
"Johannesburg, South Africa",0.101,0.884,0.583
"Toronto, Canada",0.336,0.74,0.283
"Lagos, Nigeria",0.189,0.452,0.577
"Johannesburg, South Africa",0.664,0.47,0.265
"Lagos, Nigeria",0.451,0.86,0.259
"New York, USA",0.598,0.682,0.405
"New York, USA",0.582,0.421,0.946
"Toronto, Canada",0.386,0.79,0.693
"New York, USA",0.128,0.317,0.435
"Johannesburg, South Africa",0.314,0.849,0.675
"Dubai, UAE",0.485,0.294,0.28
"New York, USA",0.262,0.686,0.674
"London, UK",0.85,0.618,0.928
"New York, USA",0.431,0.569,0.943
"Toronto, Canada",0.382,0.474,0.628
"Lagos, Nigeria",0.186,0.546,0.892
"Berlin, Germany",0.321,0.654,0.449
"Lagos, Nigeria",0.563,0.607,0.897
"Toronto, Canada",0.756,0.321,0.401
"Johannesburg, South Africa",0.719,0.317,0.733
Singapore,0.648,0.619,0.927
"Berlin, Germany",0.846,0.222,0.609
"Dubai, UAE",0.294,0.88,0.347
"London, UK",0.288,0.777,0.728
"Johannesburg, South Africa",0.137,0.462,0.201
"Toronto, Canada",0.663,0.52,0.411
"Toronto, Canada",0.741,0.383,0.906
"Dubai, UAE",0.308,0.222,0.763
"Toronto, Canada",0.733,0.573,0.149
"Johannesburg, South Africa",0.667,0.891,0.616
"Johannesburg, South Africa",0.533,0.23,0.323
"Lagos, Nigeria",0.543,0.529,0.112
"Johannesburg, South Africa",0.664,0.868,0.341
"Dubai, UAE",0.899,0.886,0.797
Singapore,0.355,0.489,0.462
"Berlin, Germany",0.158,0.158,0.339
"London, UK",0.66,0.3,0.999
"Johannesburg, South Africa",0.123,0.663,0.619
"New York, USA",0.816,0.156,0.3
"Berlin, Germany",0.878,0.61,0.283
Singapore,0.681,0.46,0.193
"Toronto, Canada",0.374,0.245,0.651
Singapore,0.281,0.18,0.891
"Toronto, Canada",0.188,0.646,0.874
"Toronto, Canada",0.105,0.241,0.946
Singapore,0.444,0.518,0.121
"Toronto, Canada",0.618,0.494,0.605
Singapore,0.401,0.639,0.925
"London, UK",0.451,0.445,0.91
"Lagos, Nigeria",0.648,0.832,0.344
"Berlin, Germany",0.427,0.782,0.552
"London, UK",0.719,0.754,0.186
"London, UK",0.614,0.322,0.347
"Johannesburg, South Africa",0.637,0.888,0.993
"London, UK",0.595,0.519,0.627
"London, UK",0.196,0.881,0.999
Singapore,0.647,0.773,0.115
"London, UK",0.574,0.792,0.974
"London, UK",0.559,0.665,0.419
"London, UK",0.579,0.239,0.175
"Lagos, Nigeria",0.89,0.866,0.181
"Lagos, Nigeria",0.449,0.42,0.41
"Dubai, UAE",0.185,0.855,0.526
"London, UK",0.51,0.802,0.177
"Toronto, Canada",0.22,0.758,0.866
"New York, USA",0.745,0.107,0.537
"London, UK",0.3,0.561,0.428
"Berlin, Germany",0.897,0.295,0.569
"Berlin, Germany",0.242,0.804,0.539
"Johannesburg, South Africa",0.402,0.661,0.193
"London, UK",0.217,0.619,0.145
Singapore,0.435,0.824,0.711
"Lagos, Nigeria",0.487,0.337,0.539
"Dubai, UAE",0.695,0.186,0.122
"Berlin, Germany",0.101,0.344,0.7
"Lagos, Nigeria",0.285,0.247,0.735
Singapore,0.316,0.302,0.973
"New York, USA",0.58,0.553,0.667
"Toronto, Canada",0.322,0.464,0.348
"Johannesburg, South Africa",0.489,0.885,0.315
"Lagos, Nigeria",0.49,0.435,0.512
